Test_ID,Condition,Assessment_Text,Expected_Code,AI_Raw_Output,Status,Latency_Seconds,Error
1,cervical_spondylosis,Cervical spondylosis with intermittent cervical radicular symptoms affecting the right upper extremity.,M47.812,"[{'code': 'M47.812', 'description': 'Cervical Spondylosis', 'distance': 0.44911491870880127, 'score': 0.44911491870880127}, {'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 1.1672513484954834, 'score': 1.1672513484954834}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 1.1858640909194946, 'score': 1.1858640909194946}, {'code': 'M25.569', 'description': 'Knee Pain', 'distance': 1.4218220710754395, 'score': 1.4218220710754395}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'distance': 1.4686784744262695, 'score': 1.4686784744262695}]",✅ PASS,1.02,None
2,diabetes,Findings are highly suggestive of Type 2 diabetes mellitus.,E11.9,"[{'code': 'E11.9', 'description': 'Type 2 Diabetes', 'distance': 0.2693047821521759, 'score': 0.2693047821521759}, {'code': 'I10', 'description': 'Hypertension', 'distance': 1.5703233480453491, 'score': 1.5703233480453491}, {'code': 'K21.9', 'description': 'Gastroesophageal Reflux Disease (GERD)', 'distance': 1.5781245231628418, 'score': 1.5781245231628418}, {'code': 'J00', 'description': 'Common Cold', 'distance': 1.7126401662826538, 'score': 1.7126401662826538}, {'code': 'K29.70', 'description': 'Gastritis', 'distance': 1.715708613395691, 'score': 1.715708613395691}]",✅ PASS,0.04,None
3,fever,Acute viral upper respiratory infection presenting with fever and mild respiratory symptoms.,R50.9,"[{'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 0.4630788564682007, 'score': 0.4630788564682007}, {'code': 'R50.9', 'description': 'Fever', 'distance': 0.8107966184616089, 'score': 0.8107966184616089}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'distance': 0.9573346376419067, 'score': 0.9573346376419067}, {'code': 'A08.4', 'description': 'Viral Gastroenteritis', 'distance': 1.0080962181091309, 'score': 1.0080962181091309}, {'code': 'J00', 'description': 'Common Cold', 'distance': 1.1053341627120972, 'score': 1.1053341627120972}]",✅ PASS,0.03,None
4,gastritis,"Acute gastritis, likely secondary to recent NSAID use.",K29.70,"[{'code': 'K29.70', 'description': 'Gastritis', 'distance': 0.6969148516654968, 'score': 0.6969148516654968}, {'code': 'A08.4', 'description': 'Viral Gastroenteritis', 'distance': 1.1817069053649902, 'score': 1.1817069053649902}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 1.2153496742248535, 'score': 1.2153496742248535}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'distance': 1.2244603633880615, 'score': 1.2244603633880615}, {'code': 'J30.9', 'description': 'Allergic Rhinitis', 'distance': 1.261500597000122, 'score': 1.261500597000122}]",✅ PASS,0.04,None
5,gerd,Gastroesophageal reflux disease (GERD).,K21.9,"[{'code': 'K21.9', 'description': 'Gastroesophageal Reflux Disease (GERD)', 'distance': 0.017056971788406372, 'score': 0.017056971788406372}, {'code': 'K29.70', 'description': 'Gastritis', 'distance': 0.8865208625793457, 'score': 0.8865208625793457}, {'code': 'A08.4', 'description': 'Viral Gastroenteritis', 'distance': 1.1429543495178223, 'score': 1.1429543495178223}, {'code': 'J45.909', 'description': 'Asthma', 'distance': 1.2875590324401855, 'score': 1.2875590324401855}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 1.3044662475585938, 'score': 1.3044662475585938}]",✅ PASS,0.04,None
6,headache,"Tension-type headache, likely related to stress and inadequate sleep.",R51,"[{'code': 'R51', 'description': 'Headache', 'distance': 0.5887777805328369, 'score': 0.5887777805328369}, {'code': 'G43.909', 'description': 'Migraine', 'distance': 0.8303725719451904, 'score': 0.8303725719451904}, {'code': 'G47.00', 'description': 'Insomnia', 'distance': 1.2131407260894775, 'score': 1.2131407260894775}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 1.3175245523452759, 'score': 1.3175245523452759}, {'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 1.31876540184021, 'score': 1.31876540184021}]",✅ PASS,0.03,None
7,hypertension,"Hypertension, with persistently elevated blood pressure and associated symptoms.",I10,"[{'code': 'I10', 'description': 'Hypertension', 'distance': 0.46622806787490845, 'score': 0.46622806787490845}, {'code': 'R51', 'description': 'Headache', 'distance': 1.3788065910339355, 'score': 1.3788065910339355}, {'code': 'G43.909', 'description': 'Migraine', 'distance': 1.438056468963623, 'score': 1.438056468963623}, {'code': 'K21.9', 'description': 'Gastroesophageal Reflux Disease (GERD)', 'distance': 1.4750642776489258, 'score': 1.4750642776489258}, {'code': 'E11.9', 'description': 'Type 2 Diabetes', 'distance': 1.4835302829742432, 'score': 1.4835302829742432}]",✅ PASS,0.03,None
8,insomnia,"Insomnia, likely related to poor sleep hygiene, evening caffeine intake, and work-related stress.",G47.00,"[{'code': 'G47.00', 'description': 'Insomnia', 'distance': 0.6073156595230103, 'score': 0.6073156595230103}, {'code': 'R51', 'description': 'Headache', 'distance': 1.4471027851104736, 'score': 1.4471027851104736}, {'code': 'F41.1', 'description': 'Generalized Anxiety Disorder', 'distance': 1.471604585647583, 'score': 1.471604585647583}, {'code': 'G43.909', 'description': 'Migraine', 'distance': 1.5233864784240723, 'score': 1.5233864784240723}, {'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 1.595632791519165, 'score': 1.595632791519165}]",✅ PASS,0.04,None
9,knee_pain,Acute right knee strain following a twisting injury.,M25.569,"[{'code': 'M25.569', 'description': 'Knee Pain', 'distance': 0.7570090293884277, 'score': 0.7570090293884277}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 1.1056199073791504, 'score': 1.1056199073791504}, {'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 1.3218066692352295, 'score': 1.3218066692352295}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'distance': 1.4683831930160522, 'score': 1.4683831930160522}, {'code': 'K29.70', 'description': 'Gastritis', 'distance': 1.5134268999099731, 'score': 1.5134268999099731}]",✅ PASS,0.04,None
10,low_back_pain,Mechanical low back pain secondary to lumbar muscle strain following heavy lifting.,M54.50,"[{'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 0.4579634666442871, 'score': 0.4579634666442871}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 1.1195869445800781, 'score': 1.1195869445800781}, {'code': 'M25.569', 'description': 'Knee Pain', 'distance': 1.3286675214767456, 'score': 1.3286675214767456}, {'code': 'M47.812', 'description': 'Cervical Spondylosis', 'distance': 1.4170374870300293, 'score': 1.4170374870300293}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 1.6478984355926514, 'score': 1.6478984355926514}]",✅ PASS,0.03,None
11,migraine,Migraine without aura.,G43.909,"[{'code': 'G43.909', 'description': 'Migraine', 'distance': 0.34405839443206787, 'score': 0.34405839443206787}, {'code': 'R51', 'description': 'Headache', 'distance': 0.8086593747138977, 'score': 0.8086593747138977}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 1.4089853763580322, 'score': 1.4089853763580322}, {'code': 'R50.9', 'description': 'Fever', 'distance': 1.455458164215088, 'score': 1.455458164215088}, {'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 1.50600004196167, 'score': 1.50600004196167}]",✅ PASS,0.03,None
12,otitis_media,"Acute otitis media involving the right ear, likely following a recent upper respiratory infection.",H66.90,"[{'code': 'H66.90', 'description': 'Acute Otitis Media', 'distance': 0.2805379033088684, 'score': 0.2805379033088684}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'distance': 0.8558332920074463, 'score': 0.8558332920074463}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 0.9622411727905273, 'score': 0.9622411727905273}, {'code': 'J30.9', 'description': 'Allergic Rhinitis', 'distance': 1.1860281229019165, 'score': 1.1860281229019165}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 1.4130340814590454, 'score': 1.4130340814590454}]",✅ PASS,0.04,None
13,shoulder_pain,Left shoulder muscle strain secondary to heavy lifting.,M25.519,"[{'code': 'M25.519', 'description': 'Shoulder Pain', 'distance': 0.552196741104126, 'score': 0.552196741104126}, {'code': 'M54.50', 'description': 'Low Back Pain', 'distance': 1.124579668045044, 'score': 1.124579668045044}, {'code': 'M25.569', 'description': 'Knee Pain', 'distance': 1.2315131425857544, 'score': 1.2315131425857544}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 1.4176946878433228, 'score': 1.4176946878433228}, {'code': 'J30.9', 'description': 'Allergic Rhinitis', 'distance': 1.4246196746826172, 'score': 1.4246196746826172}]",✅ PASS,0.02,None
14,sinusitis,"Acute sinusitis, likely following a recent upper respiratory infection.",J01.90,"[{'code': 'J01.90', 'description': 'Acute Sinusitis', 'distance': 0.17414480447769165, 'score': 0.17414480447769165}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'distance': 0.530326247215271, 'score': 0.530326247215271}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'distance': 1.0038878917694092, 'score': 1.0038878917694092}, {'code': 'J30.9', 'description': 'Allergic Rhinitis', 'distance': 1.0425045490264893, 'score': 1.0425045490264893}, {'code': 'R50.9', 'description': 'Fever', 'distance': 1.174138069152832, 'score': 1.174138069152832}]",✅ PASS,0.03,None
